idx,dir,model,inp,gold,out,acc
0,decode,ft,𛀽𛄝𛁺゙𛀇っ𛁣𛄗𛁩𛀰𛃽𛁶𛁄゙ゅ𛄞𛂞𛀆𛀘𛂚𛁹𛀖𛃵𛁮゙𛁍：,さんどいっちをつくるてじゅんはいかのとおりです：,さんどいっちをつくるてじゅんはいかのとおりである。,0.9166666666666666
0,encode,ft,さんどいっちをつくるてじゅんはいかのとおりです：,さんどいっちをつくるてじゅんはいかのとおりです：,𛁂𛄝𛁼゙𛀉っ𛁡𛀣𛄚𛁬𛀰𛃸𛁵𛁈゙ゅ𛄞𛂠𛀆𛀢𛂜𛁻𛃅𛃺𛁶゙𛁴゙𛀄𛃹：,0.5833333333333334
1,decode,ft,𛁧ー𛄞𛂆𛀉𛂚𛀻𛃍ゅ𛂋𛀷ー𛁄ょ𛄝𛄝𛄞𛁠゙𛀇𛂚𛁠𛃔𛂙𛁕𛄝𛁁゙𛀈𛂎𛀧𛁾𛀢𛀉𛀵𛁩𛁂𛀫𛀟゙𛀄𛃷𛃇𛁍。,ちーむないのこみゅにけーしょんもんだいのためのせんざいてきなかいけつさくがあります。,ちんないのきみゅにけいしょうもんだいのためのせんざいにきなかいけつさくがあります。,0.8571428571428571
1,encode,ft,ちーむないのこみゅにけーしょんもんだいのためのせんざいてきなかいけつさくがあります。,ちーむないのこみゅにけーしょんもんだいのためのせんざいてきなかいけつさくがあります。,𛁤𛀿゙𛄞𛂃𛀈𛂚𛀹𛃔ゅ𛂎𛀳𛀽ょ𛄝𛃗𛄝𛁟゙𛀆𛂜𛁟𛃖𛂝𛁒𛄞𛁄゙𛀸𛀌𛀢𛀣𛂅𛀘𛀇𛀵,0.4090909090909091
2,decode,ft,𛃣𛀊𛂸゙𛄝𛂂𛁋𛂯゚ー𛀚ー𛀘゙𛀝𛄞𛁽゙𛀌𛁰𛀨𛂃𛀹𛀌𛀏𛄝𛄘𛀇っ𛁡。,ゆうべんなすぴーかーがかんどうてきなこうえんをいった。,ゆうぼんなすひょーかーがかんどうてきなこうえんをいた。,0.9259259259259259
2,encode,ft,ゆうべんなすぴーかーがかんどうてきなこうえんをいった。,ゆうべんなすぴーかーがかんどうてきなこうえんをいった。,𛃨𛀊𛂵゙𛄞𛁂𛂄𛁐𛂰゚𛀉𛀘𛀆𛀢゙𛀠𛄝𛁽゙𛀌𛁱𛀤𛂅𛀻𛀎𛀒𛄞𛄗𛀇っ𛁟。,0.5529100529100529
3,decode,ft,𛁂𛄞𛀡𛁉𛁟𛀈𛁮゙𛁍！,さんかしたいです！,さんかしたいでしょ！,0.8888888888888888
3,encode,ft,さんかしたいです！,さんかしたいです！,𛁂𛄝𛀘𛁉𛁞𛀈𛁶゙𛁟゙！,0.6049382716049383
4,decode,ft,𛂞゙𛄞𛀮゙𛃮𛁯゙𛁅ゅ𛂝𛁉ゅ𛁻𛂡𛁡゙っ𛀝𛁵゙𛁌。,ばんぐらでしゅのしゅとはだっかです。,ばんぐらでしゅのしゅとはだっかであった。,0.9444444444444444
4,encode,ft,ばんぐらでしゅのしゅとはだっかです。,ばんぐらでしゅのしゅとはだっかです。,𛂟゙𛄝𛀮゙𛃵𛁳゙𛁈ゅ𛂜𛁆ゅ𛁽𛂦𛁠っ𛀢𛁶゙𛀅𛃹。,0.6140350877192983
5,decode,ft,𛁠𛀇𛃧𛀎𛂦𛃛𛀓𛁡𛄝𛁥𛁳゙𛁅𛁟。,たいようはもえたむちでした。,たいようはもたったちでした。,0.8571428571428571
5,encode,ft,たいようはもえたむちでした。,たいようはもえたむちでした。,𛁡𛀉𛃬𛀎𛂠𛄝𛀑っ𛁞𛃌𛁦𛁈𛁟。,0.6173469387755102
6,decode,ft,𛄌𛁡𛁄𛂞𛁯𛀬𛂚𛄇𛁇゙ー𛀠゙𛁞゙𛀉𛁐𛀪𛁶゙𛁎。,わたしはてくのろじーがだいすきです。,わたしはてくのろじがだいすきです。,0.9444444444444444
6,encode,ft,わたしはてくのろじーがだいすきです。,わたしはてくのろじーがだいすきです。,𛀺𛄞𛂟𛁳𛀫𛂝𛄃𛁉゙ー𛀚゙𛁠゙𛀇𛁋𛀤𛁰゙𛀅𛃶。,0.6049382716049383
7,decode,ft,𛀆𛀡𛂟𛀡𛁈𛄙𛁔っ𛁄𛂋𛂶𛄝𛀞𛄝𛁎𛃼Python𛀹ー𛁷゙𛁲゙𛁍。,いかはかしをせっしにへんかんするPythonこーどです。,いかはかしをせっしにへんかんするPythonなどです。,0.9285714285714286
7,encode,ft,いかはかしをせっしにへんかんするPythonこーどです。,いかはかしをせっしにへんかんするPythonこーどです。,𛀆𛀢𛂧𛀟𛁉𛄙𛁕っ𛁅𛂌𛂲𛄝𛀡𛄞𛁏𛃹Pytho𛂜𛀸゙𛁭゙𛁴゙𛁐。,0.4947089947089947
8,decode,ft,「𛀙𛀭」𛁸𛀆𛀎𛁠𛄞𛀸゙𛂟、𛀈𛀱𛁫𛀚𛂙𛂪𛄝𛁄𛂎𛁝゙𛀫𛁌𛃹𛀻𛁸𛀛゙𛀅𛃲𛃅𛁎：,「かく」というたんごは、いくつかのひんしにぞくすることがあります：,かくとうたんごは、いくつかのひんしとぞくすることがあります。,0.8484848484848485
8,encode,ft,「かく」というたんごは、いくつかのひんしにぞくすることがあります：,「かく」というたんごは、いくつかのひんしにぞくすることがあります：,𛀟𛀬」𛄗𛁭𛀉𛂎𛁞𛄝𛀺゙𛂡、𛀕𛁘𛂄𛁽𛂚𛂭𛄞𛁅𛂌𛁘゙𛀰𛀹𛁸𛀢゙𛀃𛃼：,0.45663531870428425
9,decode,ft,𛀩𛂛𛀍𛂦𛀅𛃔𛀚゙𛂰っ𛁯𛀈𛁞𛂝𛁶゙、𛄉𛁟𛁄𛂟𛃾𛀇𛄝𛀸ー𛁻𛄖𛁦ゃ𛀬𛃆𛁉𛁡。,きのうはあめがふっていたので、わたしはれいんこーとをちゃくました。,きのうはあめがふっていたので、わたしはれいんこをちゃくました。,0.9393939393939394
9,encode,ft,きのうはあめがふっていたので、わたしはれいんこーとをちゃくました。,きのうはあめがふっていたので、わたしはれいんこーとをちゃくました。,𛀦𛂜𛀊𛂤𛀅𛃔𛀝゙𛂲っ𛁶𛀉𛁟𛁽𛁭゙、𛀸𛄞𛁡゙𛀆𛀻ょ𛁹𛄚𛁥ゃ𛀮𛃖𛁠。,0.5287356321839081
10,decode,ft,Python𛁱゙𛁦ょ𛀋𛃁𛀋𛀷𛀉𛂜𛃔𛄝𛁒𛀩𛄚𛀴𛀉𛁃𛄝𛁋𛃸𛁡𛄞𛁄゙ゅ𛄝𛂁𛂰゚𛄆𛀮゙𛃭𛃓𛂠𛀈𛀞𛂚𛁷𛀍𛃷𛁶゙𛁋。,Pythonでちょうほうけいのめんせきをけいさんするたんじゅんなぷろぐらむはいかのとうりです。,Pythonでちょうほうけいめんせきをけいさんするたんじゅんなぷろぐらむはいかのとうりである。,0.9574468085106383
10,encode,ft,Pythonでちょうほうけいのめんせきをけいさんするたんじゅんなぷろぐらむはいかのとうりです。,Pythonでちょうほうけいのめんせきをけいさんするたんじゅんなぷろぐらむはいかのとうりです。,𛂎゙𛄞𛁲゙𛁩ょ𛀌𛂺𛀋𛀶𛀉𛂚𛃖𛄝𛁓𛀦𛄘𛀳𛀇𛁄𛃾𛁱𛁟𛄝𛁈゙ゅ𛂆𛂅𛂰゚𛄅𛀮゙𛃵𛃍�,0.33849129593810445
11,decode,ft,「𛂞𛀖𛀎𛀸𛀫𛂚𛃊𛃴ょ𛀍」,「はおうこくのみりょう」,はおうこくのみりょう。,0.8333333333333334
11,encode,ft,「はおうこくのみりょう」,「はおうこくのみりょう」,𛂥𛀔𛀎𛀹𛀯𛂜𛃌𛃷ょ𛀊」,0.75
12,decode,ft,𛀞𛃿𛂤𛀗𛀇𛀩゙𛁮゙𛂤𛂂𛁇𛃆𛁇𛁡。,かれはかいぎではなしました。,かれはかいけいではなしみした。,0.8571428571428571
12,encode,ft,かれはかいぎではなしました。,かれはかいぎではなしました。,𛀻𛄁𛂠𛀕𛀆𛀩゙𛁲゙𛂦𛂃𛁈𛁡。,0.5952380952380952
13,decode,ft,𛁌𛀋𛁆゙𛂚𛃱𛁊𛁻[1、5、10、15]𛂙𛀸゙𛀎𛀴𛀇𛂞31𛁶゙𛁋。,すうじのりすと[1、5、10、15]のごうけいは31です。,すうじのりすと[1、5、10、15]のごうけいは31である。,0.9655172413793104
13,encode,ft,すうじのりすと[1、5、10、15]のごうけいは31です。,すうじのりすと[1、5、10、15]のごうけいは31です。,𛁑𛀍𛁆゙𛂜𛃶𛁐𛁻[1、5、10、15]𛂝𛀹゙𛀋𛀳𛀇𛂡31𛁲゙𛁏。,0.5172413793103449
14,decode,ft,𛂠ー𛁷𛀠𛁞𛂚𛀩ゃ𛄝𛂎゙ぃー𛃞、,はーとかたのきゃんでぃーや、,はとくてかたのきゃんでぃや、,0.8571428571428571
14,encode,ft,はーとかたのきゃんでぃーや、,はーとかたのきゃんでぃーや、,𛂥゚𛁹𛀝𛁞𛂜𛀦ゃ𛄝𛁳゙ぃぇ𛃡、,0.4835164835164835
